case,variant,before,after,shift_s,Npaired_snr,mean_paired_delta_snr_db,median_paired_delta_snr_db,positive_delta_pct
data1,fusion,bounded_tracking_gap15,guarded_fusion_gap10,1,37,-0.49356720546620597,-0.3828381140842403,45.94594594594595
data1,fusion,bounded_tracking_gap15,guarded_fusion_gap15,1,37,-0.49356720546620597,-0.3828381140842403,45.94594594594595
data1,fusion,guarded_fusion_gap10,guarded_fusion_gap15,1,37,0.0,0.0,0.0
data1,pos,trimmed_gap10,trimmed_gap15,1,38,-2.4798876402679814e-14,-1.3766765505351941e-14,0.0
data1,pos,trimmed_gap10,bounded_tracking_gap10,1,38,-0.8297208368409845,-0.8023704362010089,39.473684210526315
data1,pos,trimmed_gap10,bounded_tracking_gap15,1,38,-0.82972083684094,-0.8023704362009263,39.473684210526315
data1,pos,trimmed_gap10,guarded_fusion_gap10,1,38,-0.82972083684094,-0.8023704362009263,39.473684210526315
data1,pos,trimmed_gap10,guarded_fusion_gap15,1,38,-0.82972083684094,-0.8023704362009263,39.473684210526315
data1,pos,trimmed_gap15,bounded_tracking_gap10,1,38,-0.82972083684096,-0.8023704362010187,39.473684210526315
data1,pos,trimmed_gap15,bounded_tracking_gap15,1,38,-0.8297208368409151,-0.8023704362009361,39.473684210526315
data1,pos,trimmed_gap15,guarded_fusion_gap10,1,38,-0.8297208368409151,-0.8023704362009361,39.473684210526315
data1,pos,trimmed_gap15,guarded_fusion_gap15,1,38,-0.8297208368409151,-0.8023704362009361,39.473684210526315
data1,pos,bounded_tracking_gap10,bounded_tracking_gap15,1,38,4.4502413450237856e-14,2.398081733190338e-14,0.0
data1,pos,bounded_tracking_gap10,guarded_fusion_gap10,1,38,4.4502413450237856e-14,2.398081733190338e-14,0.0
data1,pos,bounded_tracking_gap10,guarded_fusion_gap15,1,38,4.4502413450237856e-14,2.398081733190338e-14,0.0
data1,pos,bounded_tracking_gap15,guarded_fusion_gap10,1,38,0.0,0.0,0.0
data1,pos,bounded_tracking_gap15,guarded_fusion_gap15,1,38,0.0,0.0,0.0
data1,pos,guarded_fusion_gap10,guarded_fusion_gap15,1,38,0.0,0.0,0.0
data1,chrom,trimmed_gap10,trimmed_gap15,1,38,3.6438688324013033e-14,3.019806626980426e-14,0.0
data1,chrom,trimmed_gap10,bounded_tracking_gap10,1,38,-1.941329541294714,-1.691177072062378,23.684210526315788
data1,chrom,trimmed_gap10,bounded_tracking_gap15,1,38,-1.9413295412946336,-1.6911770720622554,23.684210526315788
data1,chrom,trimmed_gap10,guarded_fusion_gap10,1,38,-1.9413295412946336,-1.6911770720622554,23.684210526315788
data1,chrom,trimmed_gap10,guarded_fusion_gap15,1,38,-1.9413295412946336,-1.6911770720622554,23.684210526315788
data1,chrom,trimmed_gap15,bounded_tracking_gap10,1,38,-1.9413295412947495,-1.6911770720624713,23.684210526315788
data1,chrom,trimmed_gap15,bounded_tracking_gap15,1,38,-1.9413295412946703,-1.6911770720623487,23.684210526315788
