record_type,window_index,channel,patch_id,region,branch,method,status,observed_fraction,mean_quality,tracked_fraction,reset_fraction,representative,peak_bpm,peak_concentration,peak_fwhm_bpm,spectral_score,cluster_index,patch_ids_json,regions_json,patch_count,region_count,qualified,cluster_score,selected,coefficient,polarity,medoid_channel
cluster,18,,,,,,,,,,,,50.0,0.30323946475478064,11.857560526859508,0.15252496469455132,6.0,"[""left_cheek_3""]","[""left_cheek""]",1.0,1.0,False,0.05084165489818377,False,,,
cluster,18,,,,,,,,,,,,110.0,0.26011899691749196,16.031729659290548,0.1113533842167092,7.0,"[""right_cheek_1""]","[""right_cheek""]",1.0,1.0,False,0.037117794738903066,False,,,
cluster,18,,,,,,,,,,,,57.0,0.22392197028269514,8.96243916174344,0.12818468417054474,8.0,"[""right_cheek_2""]","[""right_cheek""]",1.0,1.0,False,0.04272822805684825,False,,,
contributor,18,tracked/left_cheek_1/pos,left_cheek_1,left_cheek,,,,,,,,,89.0,,,,,,,,,,,,0.5,-1.0,tracked/left_cheek_1/pos
contributor,18,baseline/right_cheek_0/pos,right_cheek_0,right_cheek,,,,,,,,,91.0,,,,,,,,,,,,0.5,-1.0,tracked/left_cheek_1/pos
channel,19,baseline/forehead_0/chrom,forehead_0,forehead,baseline,chrom,eligible,1.0,0.9999999901549677,0.9233333333333333,0.0,False,158.0,0.16175720405115934,12.12245343803329,0.08046803587372453,,,,,,,,,,,
channel,19,baseline/forehead_0/pos,forehead_0,forehead,baseline,pos,eligible,1.0,0.9999999901549677,0.9233333333333333,0.0,False,78.0,0.26610261449408673,11.13955649981574,0.13799881488456653,,,,,,,,,,,
channel,19,baseline/forehead_1/chrom,forehead_1,forehead,baseline,chrom,eligible,1.0,0.9999999887056602,0.8333333333333334,0.0,False,86.0,0.19576314400580208,7.583253240327181,0.11995748097829209,,,,,,,,,,,
channel,19,baseline/forehead_1/pos,forehead_1,forehead,baseline,pos,eligible,1.0,0.9999999887056602,0.8333333333333334,0.0,False,86.0,0.18415717341879453,8.590917800272337,0.10732334043877861,,,,,,,,,,,
channel,19,baseline/forehead_2/chrom,forehead_2,forehead,baseline,chrom,eligible,1.0,0.9999999905846162,0.9266666666666666,0.0,False,133.0,0.22859901141340636,22.891157851846188,0.07862129851376448,,,,,,,,,,,
channel,19,baseline/forehead_2/pos,forehead_2,forehead,baseline,pos,eligible,1.0,0.9999999905846162,0.9266666666666666,0.0,False,75.0,0.19366542224256839,10.69123343507458,0.10241774972525561,,,,,,,,,,,
channel,19,baseline/forehead_3/chrom,forehead_3,forehead,baseline,chrom,eligible,1.0,0.9999999877485425,0.51,0.0,False,129.0,0.15296020316221887,8.816419930978867,0.08817666265537875,,,,,,,,,,,
channel,19,baseline/forehead_3/pos,forehead_3,forehead,baseline,pos,eligible,1.0,0.9999999877485425,0.51,0.0,True,128.0,0.1931160384426261,8.141322706588355,0.11505661743622625,,,,,,,,,,,
channel,19,baseline/left_cheek_0/chrom,left_cheek_0,left_cheek,baseline,chrom,eligible,1.0,0.9999999888890607,0.13666666666666666,0.0,True,77.0,0.24561926101128595,9.702790092485529,0.13580885773557583,,,,,,,,,,,
channel,19,baseline/left_cheek_0/pos,left_cheek_0,left_cheek,baseline,pos,eligible,1.0,0.9999999888890607,0.13666666666666666,0.0,False,76.0,0.2308847355560424,9.762503324803504,0.1273114946989916,,,,,,,,,,,
channel,19,baseline/left_cheek_1/chrom,left_cheek_1,left_cheek,baseline,chrom,eligible,1.0,0.9999999882281049,0.6466666666666666,0.0,False,156.0,0.31924497690844283,11.903184067613807,0.16026901320196155,,,,,,,,,,,
channel,19,baseline/left_cheek_1/pos,left_cheek_1,left_cheek,baseline,pos,eligible,1.0,0.9999999882281049,0.6466666666666666,0.0,False,157.0,0.2514658000943673,12.236586762681497,0.12450555149039257,,,,,,,,,,,
channel,19,baseline/left_cheek_2/chrom,left_cheek_2,left_cheek,baseline,chrom,eligible,1.0,0.9999999892487135,0.6233333333333333,0.0,False,55.0,0.18449162349436207,12.340393430103184,0.09095578049261464,,,,,,,,,,,
channel,19,baseline/left_cheek_2/pos,left_cheek_2,left_cheek,baseline,pos,eligible,1.0,0.9999999892487135,0.6233333333333333,0.0,False,73.0,0.1738611270364508,11.208716587660561,0.08989439448567595,,,,,,,,,,,
channel,19,baseline/left_cheek_3/chrom,left_cheek_3,left_cheek,baseline,chrom,eligible,1.0,0.9999999884091475,0.7066666666666667,0.0,True,51.0,0.3139836404684909,9.845093847812514,0.17247825584412332,,,,,,,,,,,
channel,19,baseline/left_cheek_3/pos,left_cheek_3,left_cheek,baseline,pos,eligible,1.0,0.9999999884091475,0.7066666666666667,0.0,False,50.0,0.21798374014737518,9.190414553947527,0.12344283662356235,,,,,,,,,,,
channel,19,baseline/right_cheek_0/chrom,right_cheek_0,right_cheek,baseline,chrom,eligible,1.0,0.999999989273763,0.4666666666666667,0.0,False,94.0,0.2592329600317889,14.722328168440484,0.11641184483526282,,,,,,,,,,,
channel,19,baseline/right_cheek_0/pos,right_cheek_0,right_cheek,baseline,pos,eligible,1.0,0.999999989273763,0.4666666666666667,0.0,True,93.0,0.26767848359847135,14.01728822660479,0.12346182181650199,,,,,,,,,,,
channel,19,baseline/right_cheek_1/chrom,right_cheek_1,right_cheek,baseline,chrom,eligible,1.0,0.9999999882690619,0.03333333333333333,0.0,False,60.0,0.1926872841321142,14.647425871220271,0.08677188636380229,,,,,,,,,,,
channel,19,baseline/right_cheek_1/pos,right_cheek_1,right_cheek,baseline,pos,eligible,1.0,0.9999999882690619,0.03333333333333333,0.0,True,138.0,0.26203095085048933,12.362586449088525,0.12906558245680486,,,,,,,,,,,
channel,19,baseline/right_cheek_2/chrom,right_cheek_2,right_cheek,baseline,chrom,eligible,1.0,0.9999999884794424,0.4866666666666667,0.0,True,57.0,0.2886378233149337,10.092433542749646,0.1567800972707199,,,,,,,,,,,
