branch,roi,segment_id,start_frame,stop_frame_exclusive,status,window,finite_samples,minimum_weight,maximum_weight
tracked,left_cheek,0,90,390,cdf_applied,True,300,0.0,0.6904682164517593
tracked,left_cheek,0,120,420,cdf_applied,True,300,0.0,0.7409747587161943
tracked,left_cheek,0,150,450,cdf_applied,True,300,0.0,0.4903946787968974
tracked,left_cheek,0,180,480,cdf_applied,True,300,0.0,0.7024047756683759
tracked,left_cheek,0,210,510,cdf_applied,True,300,0.0,0.741445553910984
tracked,left_cheek,0,240,540,cdf_applied,True,300,0.0,0.7245974657691014
tracked,left_cheek,0,270,570,cdf_applied,True,300,0.0,0.8339380287828664
tracked,left_cheek,0,300,600,cdf_applied,True,300,0.0,0.5977710270505341
tracked,left_cheek,0,330,630,cdf_applied,True,300,0.0,0.7985072890430908
tracked,left_cheek,0,360,660,cdf_applied,True,300,0.0,0.7361669234044497
tracked,left_cheek,0,390,690,cdf_applied,True,300,0.0,0.7127645944589379
tracked,left_cheek,0,420,720,cdf_applied,True,300,0.0,0.8424620820264708
tracked,left_cheek,0,450,750,cdf_applied,True,300,0.0,0.6335572645081442
tracked,left_cheek,0,480,780,cdf_applied,True,300,0.0,0.5717097286438646
tracked,left_cheek,0,510,810,cdf_applied,True,300,0.0,0.8646140072584731
tracked,left_cheek,0,540,840,cdf_applied,True,300,0.0,0.4011211928658249
tracked,left_cheek,0,570,870,cdf_applied,True,300,0.0,0.7204119072956885
tracked,left_cheek,0,600,900,cdf_applied,True,300,0.0,0.4307945166566215
tracked,left_cheek,0,630,930,cdf_applied,True,300,0.0,0.791799695169874
tracked,left_cheek,0,660,960,cdf_applied,True,300,0.0,0.6739812260066594
tracked,left_cheek,0,690,990,cdf_applied,True,300,0.0,0.6658957998530003
tracked,left_cheek,0,720,1020,cdf_applied,True,300,0.0,0.6142981124081107
tracked,left_cheek,0,750,1050,cdf_applied,True,300,0.0,0.921641864500641
tracked,left_cheek,0,780,1080,cdf_applied,True,300,0.0,0.6760514234297424
tracked,left_cheek,0,810,1110,cdf_applied,True,300,0.0,0.6128282480023722
tracked,left_cheek,0,840,1140,cdf_applied,True,300,0.0,0.9011669335231032
tracked,left_cheek,0,870,1170,cdf_applied,True,300,0.0,0.8416858018251006
tracked,left_cheek,0,900,1200,cdf_applied,True,300,0.0,0.6282930482982552
tracked,left_cheek,0,930,1230,cdf_applied,True,300,0.0,0.8592558774958233
